,RA,DEC,RGC,F115W,F356W
87,114.04442040411888,-69.54596614218214,26.391814532632377,21.454,19.09
102,114.04067495861284,-69.56395249280435,18.159201735862347,21.519,19.163
105,114.0414827629122,-69.54731712968459,27.413924102552464,21.682,19.326
131,114.05457259115956,-69.5395616265592,24.225881825954083,21.859,19.436
132,114.03218209254388,-69.54525785700051,35.40393901535935,21.864,19.551
134,114.03896117891048,-69.55358218198275,24.7321713431794,21.756,19.246
145,114.0687807663618,-69.57352237541105,21.519286622280163,21.85,19.394
155,114.03972376606256,-69.54580059748051,29.755313680713247,22.011,19.512
157,114.05236547192088,-69.55469586587537,15.64076458478638,21.894,19.214
161,114.05387282623543,-69.54127510821988,23.38822035926596,22.04,19.598
166,114.02806622001104,-69.55124166125849,33.73656347494025,21.949,19.549
174,114.05833413363918,-69.53837120702433,22.531793876170923,22.116,19.696
182,114.08232188165616,-69.53722914342583,6.856518144536659,22.159,19.759
189,114.04372227905336,-69.54242973323332,29.55857157360912,22.159,19.772
197,114.0320436916166,-69.55061068693064,31.47282477943983,22.067,19.573
199,114.05305474564088,-69.54090987133213,24.237244308902984,22.2,19.808
202,114.04306709494712,-69.56862645378,16.05485858277595,22.098,19.469
222,114.09771121403162,-69.55029689704432,17.01797688866341,22.197,19.766
223,114.0658113774098,-69.53433180325933,20.518111687648744,22.288,19.965
226,114.0705082047995,-69.54839041789904,8.485217831367974,22.295,19.422
230,114.03857489743254,-69.54619461316133,30.252639973193947,22.309,19.913
237,114.04895033478265,-69.54436198273248,24.46398028020313,22.333,19.556
250,114.11070472353524,-69.54688772948123,22.492981984587495,22.286,19.856
251,114.09419434264316,-69.54424166808313,9.305217963136892,22.298,19.856
255,114.10087023094071,-69.56299857548592,30.697890749944627,22.269,19.929
263,114.07935150555242,-69.54821075345392,6.540766459676301,22.383,19.858
271,114.08154170877268,-69.57471770458763,29.437083190280845,22.297,19.412
277,114.05309308642056,-69.53960545812946,25.22431433671133,22.413,19.858
278,114.09925664566576,-69.54220747559421,10.5893392804866,22.321,19.545
279,114.08525169758845,-69.55510462262448,13.978436211178646,22.335,20.006
281,114.02995477440128,-69.55115140126367,32.50844017880626,22.3,19.877
287,114.04994848322671,-69.54106906007702,26.276629324296604,22.425,19.926
292,114.09843610947344,-69.55040921839958,17.583740542435358,22.354,19.978
296,114.03995474004412,-69.54823763291101,27.78762659638634,22.367,19.981
300,114.1135337078864,-69.56599976677205,41.79655425363537,22.343,19.539
305,114.03966702205256,-69.54209359901475,32.64933615254839,22.457,20.123
306,114.09911652505366,-69.54223240628654,10.521986354901347,22.365,19.581
308,114.0516757109134,-69.5404456298585,25.557265887789992,22.458,19.919
309,114.03881907500504,-69.56194218898618,20.014230521860704,22.346,19.74
311,114.06982785990895,-69.5680821524975,17.50936089876835,22.362,20.035
313,114.07275978714836,-69.55115155381158,7.7353378380501265,22.48,20.149
315,114.0467117063918,-69.54357412108443,26.60305947378029,22.476,19.968
