,RA,DEC,RGC,F115W,F444W
198,334.57776125036054,40.56001113176639,2.7542967465191035,21.665,19.008
228,334.57391155109184,40.56404714309343,0.6197970067092422,21.918,19.277
237,334.5722507677043,40.56569386005381,1.693159466684628,21.972,19.516
257,334.5742431005873,40.56407954954061,0.697644455541912,22.117,19.686
271,334.5705801108161,40.56474843565619,2.97724493688617,22.187,19.584
308,334.57470019318936,40.5588289628285,1.395959760381316,22.395,19.725
326,334.5700670205891,40.57041259063821,3.693345976675178,22.473,19.653
333,334.569609505634,40.567194218131235,3.679272763022346,22.51,19.766
346,334.5714362450406,40.57025301222957,3.10117540821977,22.591,19.951
349,334.5754925209645,40.56188794923177,0.980256963890774,22.606,19.657
357,334.57059653641227,40.56817143996964,3.0363494536393376,22.656,20.089
362,334.57374784098334,40.55764726505238,2.3176582615860997,22.662,19.742
367,334.57155133654794,40.5658688503136,2.1776448649179057,22.675,19.747
371,334.5774228586406,40.55944398500533,2.4507338932548857,22.679,20.162
401,334.5759369243324,40.55474377331686,2.8830017105375743,22.868,19.97
417,334.57517292643166,40.56408057211694,1.2927343034695693,22.968,20.283
420,334.56949816076354,40.56784244852363,3.776065951041629,22.989,20.432
426,334.57557746486316,40.559746716735546,1.1624071573218242,23.022,20.061
447,334.5712834353253,40.579115979540944,6.334074671477669,23.002,20.134
451,334.5765023615849,40.55471513676937,2.9169986308262184,23.149,20.357
462,334.573502576994,40.55904043450254,1.890952853000201,23.183,20.403
464,334.56753830318974,40.564201149373964,5.717301850633521,23.194,20.673
466,334.5758552902475,40.55960267295241,1.3307185155484451,23.221,20.063
470,334.57428584421984,40.558602370157466,1.6356644030302503,23.229,20.78
472,334.5736931251702,40.566941920624274,1.753773461763621,23.227,20.631
501,334.572260725123,40.56387243901537,1.618249110137021,23.349,20.831
503,334.5805614923924,40.55473987355003,4.947539753235208,23.361,20.393
508,334.5703794246042,40.56610423138585,3.0766958570359586,23.383,20.309
543,334.57450374492237,40.55821127175191,1.717189187573111,23.559,20.996
550,334.5733465130754,40.56603152241563,1.3703223460320677,23.58,20.702
556,334.5793300200829,40.557383009865575,3.945668395943763,23.602,20.775
559,334.57366742093,40.55949408277144,1.5979445868983864,23.606,20.632
560,334.5697388701167,40.56496998446779,3.67924546973233,23.609,20.976
577,334.57340508599657,40.56623010003669,1.4411397423716164,23.712,21.237
579,334.57576662204553,40.55895691941478,1.4284162963762206,23.718,21.114
588,334.5721018019958,40.56958546369248,2.7465707500883183,23.762,21.191
589,334.57473031104325,40.55743439587121,1.974714339022945,23.777,21.313
593,334.5772076044395,40.56177758339155,2.483658252948094,23.78,20.771
602,334.5758529361773,40.56122939770325,1.2293169018820405,23.828,21.124
617,334.5720009281113,40.56196496510556,2.1525944739677603,23.857,20.837
628,334.59537988589915,40.56773423467906,20.057111643842884,23.753,20.807
634,334.57213955494075,40.56829672888539,2.331398225758724,23.904,21.252
642,334.57138556206354,40.56254993808988,2.5767716319819725,23.921,21.231
663,334.5688453959298,40.50489566808714,27.35837129035234,23.901,21.472
665,334.5794220271841,40.560986935695446,4.323243844782769,23.973,21.048
678,334.57394188107907,40.56660524828742,1.6741778044265094,24.019,20.88
681,334.57674818810244,40.56089827464643,1.9633173110169055,24.017,21.594
689,334.5792315187383,40.55905442237704,3.928562321802776,24.048,21.102
691,334.5729445964553,40.567824834223494,2.043266443672914,24.057,21.423
692,334.5704520565446,40.57124791425103,3.700911051500406,23.922,21.167
697,334.57743787078726,40.56348664396684,3.058538819244896,24.071,21.41
701,334.5723010147841,40.56744682887441,2.040565859945084,24.081,21.404
703,334.5679541444867,40.56486882741901,5.250085625972488,24.086,21.668
