,RA,DEC,RGC,F115W,F356W
22,178.95570992226743,55.31128314467364,8.298834581640943,21.754,19.239
31,178.9224952381395,55.32289419297084,4.8719129746774135,22.081,19.09
33,178.9375066446022,55.32399793208191,5.145295045398273,21.908,19.449
50,178.91913038640834,55.3249723123493,4.639341517859944,22.316,19.931
61,178.92053222083956,55.323286433145995,5.379720438490451,22.414,19.471
68,178.94565146603668,55.3172940832903,2.709700981074461,22.315,19.93
69,178.9092439943627,55.32983995599552,7.03802690573205,22.504,20.037
80,178.91253197216477,55.32531638537422,7.078250709467237,22.575,20.191
96,178.9157759961497,55.326736807771496,5.208475479657633,22.684,20.338
97,178.92975527937534,55.32078417406717,3.917404874184429,22.681,20.291
100,178.94951110543903,55.31687562338452,2.9231445878163775,22.496,20.095
102,178.93471295359785,55.318542380005525,4.871630057300287,22.523,20.201
111,178.93269694792104,55.32103378641064,2.104219815915118,22.71,20.131
113,178.97423430826294,55.311427370777615,8.712934407863665,22.53,20.197
114,178.93175767709732,55.32301429140612,1.7603561952553648,22.712,20.074
115,178.93552546182943,55.32169668956381,0.796745443487914,22.714,20.409
124,178.93888940063349,55.31721510297933,5.098157827803532,22.582,19.961
128,178.95113965323628,55.31631857241446,3.3427740535623647,22.554,19.991
132,178.9318137198071,55.32622768756016,6.3522909192768715,22.76,20.396
134,178.95102672853227,55.315895292511534,3.6252038758897935,22.588,20.205
136,178.9309416780548,55.32244906046287,1.6389786808989095,22.784,20.444
142,178.93126932494764,55.319197779816605,5.512672789869148,22.804,20.216
144,178.93635956159483,55.32442766596971,5.3355510518768625,22.615,20.031
154,178.92849270007113,55.324761463001956,3.2403636053318725,22.839,20.523
160,178.93847980358734,55.31745520685397,4.891493075991905,22.703,20.227
164,178.95047055903385,55.31703948588956,3.006706223591442,22.693,20.026
165,178.93383719721572,55.32023441340654,2.667858316110828,22.876,20.424
167,178.94045609455054,55.32059650306447,1.1890072063245805,22.694,19.729
171,178.93113515027954,55.3185980444628,6.504355262918078,22.801,20.391
186,178.925482168041,55.31586112490967,13.506934676989689,22.774,20.036
192,178.91203176634244,55.32815282828424,6.115177537385117,22.935,20.149
194,178.9328760089872,55.319550137613405,4.182873627165915,22.944,20.366
197,178.93786707664495,55.3194817389012,1.9188371371919424,22.803,19.89
202,178.91953501284144,55.322594221067384,6.645815553866789,22.961,20.553
203,178.93448190462806,55.318798443923434,4.577058956678154,22.81,20.179
221,178.96123552065393,55.31259617153003,6.118508633084898,22.808,19.896
223,178.9336713188892,55.31938040213354,4.056396017607335,22.921,20.362
226,178.93289672250935,55.32233255521748,1.240804456952615,23.016,20.702
229,178.973629625089,55.311304571578574,8.514050052754609,22.834,20.467
233,178.95737500725036,55.31217068192919,6.799689192810352,22.845,20.509
234,178.94128605894755,55.32010439422067,1.0135778652723058,22.843,20.488
261,178.9400512605085,55.32318115814626,4.992707105524627,22.89,20.481
262,178.9315735143333,55.32147242570914,2.1156864919499374,23.089,20.429
263,178.92839992296598,55.320642183408914,4.797289698873583,23.1,20.554
281,178.9315093382523,55.32009836451089,4.02995253242735,23.147,20.525
289,178.95171875311644,55.31282051977473,7.235823977000115,22.982,20.565
300,178.9336128113244,55.317567001792824,6.934427414503941,23.03,20.238
305,178.95592991583942,55.31198744260613,7.303798462165201,23.017,20.508
313,178.92581067640066,55.32076681998797,5.920387745550611,23.231,20.851
319,178.93266875890208,55.322285417778936,1.2421099342685893,23.23,20.542
335,178.96474719186236,55.31241944851281,6.508387270731892,23.081,20.703
344,178.941418002149,55.32106923026242,2.3522933858081863,23.089,20.744
362,178.92665332719557,55.32127955265971,4.794157949140566,23.317,20.823
366,178.94187670534566,55.31533090703298,6.851607470629885,23.16,20.811
370,178.96850385242004,55.31265264554859,7.296506685252924,23.152,20.673
384,178.9354343319456,55.318897842590395,3.968571957542708,23.209,20.767
396,178.9392107981235,55.31665727228464,5.851138906808382,23.232,20.563
412,178.91787956978845,55.32500620436774,5.088749479805076,23.436,20.999
416,178.91881342767866,55.3227374204031,6.825619792737593,23.455,21.148
417,178.9541403463905,55.31783537533377,4.684392960570715,23.265,20.595
428,178.94787426821634,55.31778726116748,2.390896894109488,23.286,20.798
438,178.93617939834942,55.322431742266815,2.0881959329977327,23.435,20.779
443,178.94310833183025,55.31851104548817,1.704067906070149,23.308,20.744
447,178.93176768670608,55.327326819786386,8.057418212596884,23.501,20.902
455,178.9525843686555,55.317085960183306,3.578144303828537,23.335,20.925
469,178.9211090358527,55.32557105926307,3.967658975131223,23.553,20.826
484,178.9328827950779,55.321678802803035,1.3130516850487282,23.568,20.83
486,178.93422069820366,55.317763708962794,6.336593959811419,23.423,20.994
487,178.9435774854329,55.317593299066274,2.7726218067951134,23.391,20.634
491,178.92067601554106,55.329107181469496,7.131874982224635,23.581,21.122
499,178.94396190758422,55.31887365012251,1.4701377731110334,23.408,20.968
501,178.92723836309418,55.32768620122982,6.964447531266186,23.597,21.1
507,178.92391457606954,55.32219433086642,4.98663124023698,23.609,20.739
520,178.9337583613807,55.31878397624754,4.945781243867236,23.488,20.982
525,178.93831836747384,55.31659017842603,6.344955779929932,23.485,20.666
527,178.93297566981477,55.32376103454675,2.9878073783022483,23.651,21.248
529,178.95745311846514,55.312312215270616,6.623921317690549,23.47,21.042
535,178.9318368744567,55.32037729355945,3.455166463222097,23.652,21.133
536,178.94761311371155,55.31443668225836,6.1316862790697,23.478,20.659
546,178.91226889557566,55.33029706735272,7.272374808870364,23.684,21.074
550,178.91983581036007,55.32318077423163,5.820923912278267,23.682,21.258
553,178.94880900624474,55.318030625880034,2.6720039219027467,23.498,20.902
561,178.91101306612396,55.32934362570481,6.634443362410003,23.712,21.141
568,178.92378060852622,55.32149814299417,5.937516260956126,23.749,21.407
569,178.9316990039637,55.32557610971397,5.299815177904249,23.72,21.243
602,178.94333203540302,55.32027263716124,2.1961156596307334,23.608,21.15
608,178.94231452330317,55.31473213042017,7.622517519977615,23.639,21.043
615,178.9499355589813,55.31819693010348,3.1782732324862373,23.631,21.145
616,178.9128437344243,55.32511469395538,7.117737611046785,23.818,21.488
618,178.94181186110785,55.31851876002315,1.9587458227776144,23.633,21.018
629,178.94860942672403,55.318331827470885,2.742992257001984,23.659,20.997
632,178.91777461298037,55.32717690404933,4.96707127863639,23.842,21.497
647,178.93860031317382,55.32271664924165,3.5844250763319425,23.653,21.194
659,178.93116953971557,55.321650934457146,2.1103291424706403,23.87,20.958
664,178.90447326596717,55.325401167456434,10.690881434182712,23.879,21.51
667,178.9229707848023,55.32391032188081,3.785428550658368,23.884,21.475
676,178.93895457128454,55.32088074908682,0.8451958209749686,23.712,21.407
677,178.94627031394515,55.31720836866398,2.7177999729597366,23.71,20.885
680,178.91487404627628,55.328734402091875,6.059720799957355,23.898,21.455
686,178.96894262628598,55.30840197235418,9.430378519605938,23.725,21.391
704,178.9474349098434,55.3171785219756,2.6583239886059715,23.772,21.178
706,178.92756264742903,55.32376343679851,2.4489864246577646,23.955,21.633
713,178.91042455024512,55.327305574836736,6.655030398366167,23.978,21.531
721,178.95476833591673,55.31829056416736,5.426911807431649,23.802,21.456
722,178.9569476200565,55.3192841589534,7.682998602138041,23.804,21.502
724,178.97113697862756,55.31156280996427,7.885461493300183,23.816,21.495
732,178.92420617230476,55.323346624708165,3.6748995638648014,24.017,21.17
734,178.93104088821363,55.32696858119412,7.214917928279106,24.017,21.573
741,178.9020036264753,55.32979942599066,8.560475609095834,24.028,21.467
745,178.93092044219802,55.32284233438435,1.671241949840253,24.039,21.145
757,178.92491644172298,55.32389865652923,3.1019543900264015,24.057,21.498
759,178.94605279053357,55.31406650513919,7.226490953851674,23.87,21.446
763,178.92120344544958,55.32360513029156,4.761294463293911,24.073,21.386
769,178.9411981081955,55.323075598081005,5.363320135408926,23.878,20.989
784,178.94354311327876,55.321478987898466,4.022875089403407,23.904,21.161
811,178.93826091705498,55.32353944707984,4.746481426413876,23.926,21.45
818,178.9619449410991,55.313703319672726,5.732667668207519,23.953,21.611
819,178.91105586029235,55.3249814072014,8.051785361567756,24.145,21.605
833,178.9367295416631,55.32355905441504,4.106918399434702,23.963,21.492
853,178.93949394069014,55.3208611378639,1.0838792933568735,24.007,21.49
882,178.93541571610385,55.31631899152173,8.081440097321439,24.075,21.472
896,178.9311155355957,55.31799466805043,7.453777901554559,24.095,21.79
899,178.94271834375795,55.32186398821499,4.201736728727669,24.054,21.327
903,178.90624535655954,55.329587714119775,7.465444842050808,24.267,21.466
908,178.96194887742763,55.31106409794801,7.413247755877068,24.083,21.652
915,178.91697737098465,55.32821823918051,5.670523480868756,24.278,21.584
916,178.90443490800573,55.32896547816377,8.038120356451897,24.28,21.723
927,178.91154010942327,55.3243707689997,8.460400642763394,24.295,21.909
940,178.91340477251634,55.32632624068542,6.040873174850731,24.317,21.684
941,178.91819577521284,55.32551767106166,4.735506473647167,24.311,21.456
946,178.90967408181987,55.3300574574944,7.113214380256695,24.321,21.471
962,178.91229968386114,55.3297817767075,6.847100592775313,24.356,21.562
978,178.9632860227295,55.31182632875225,6.69562128671017,24.184,21.706
993,178.95030639765312,55.3177299855091,3.0594756872628635,24.206,21.368
997,178.9377515559027,55.32218100872223,2.3472738247201757,24.187,21.574
1023,178.9304313687911,55.327493900224646,7.803240416725969,24.416,21.823
1033,178.9209409706915,55.328093017076895,5.912235598096551,24.441,21.829
1044,178.95258091160227,55.31242554151867,7.5517173220170895,24.259,21.73
1061,178.9282688187017,55.32783541376357,7.540461142317684,24.466,22.004
1077,178.94137881395503,55.323895064224594,6.746626555978183,24.28,21.974
1078,178.92867933711963,55.320958932808736,4.214648601953987,24.487,21.727
1082,178.9255169826586,55.32206585532035,4.358488311491472,24.491,22.001
