,RA,DEC,RGC,F115W,F356W
38,53.43065491248446,-36.13868012446465,7.763329344747244,21.321,18.899
52,53.41966395683854,-36.168365354726376,10.374894319566812,21.438,19.113
79,53.429076665980325,-36.1615125297109,10.079939570984632,21.646,19.242
82,53.43007584176111,-36.15706738525907,9.34868173206919,21.662,19.011
101,53.42756212659632,-36.15310148644328,8.068698900957347,21.745,19.421
108,53.432364211706386,-36.1472566468768,8.49266219288132,21.783,19.455
127,53.4232607137375,-36.15686808356248,7.901967812558027,21.873,19.223
129,53.42653906596421,-36.160176612859665,9.287340412036972,21.88,19.278
138,53.432297542087866,-36.1474781206532,8.495019466185832,21.885,19.463
148,53.42688919366564,-36.16032966962941,9.389369138178866,21.932,19.125
150,53.4459676358425,-36.15323400594286,12.542520032093346,22.106,19.721
154,53.4315860098919,-36.14784318679575,8.346861290644064,21.926,19.548
161,53.42789873606176,-36.15790996355703,9.058240159724749,21.966,19.549
164,53.43351091315514,-36.14011508489427,8.501778889906372,21.97,19.558
165,53.42636926452314,-36.163380013334006,10.024371899295572,21.991,19.228
179,53.41520612684248,-36.17210726742502,11.038017985548086,22.036,19.186
189,53.432433403390704,-36.13802820938131,8.254269113927085,22.068,19.607
195,53.4292475969118,-36.15776886437034,9.310319647653143,22.094,19.576
201,53.428176585920575,-36.161463020246565,9.895828160720416,22.111,19.717
203,53.431657405789466,-36.142000294340846,8.02225372184649,22.098,19.723
214,53.43070996897312,-36.14119328128789,7.75799807325854,22.124,19.127
220,53.42755106094703,-36.15363167141908,8.157657955818332,22.142,19.812
234,53.4316025304649,-36.15003480171568,8.588574222960599,22.169,19.853
248,53.43088066521263,-36.138468565932214,7.828964763353718,22.212,19.503
251,53.431773774988166,-36.14488528244858,8.166956539632608,22.219,19.513
253,53.42872243934779,-36.16085004568092,9.861633704283244,22.235,19.78
254,53.431534611973646,-36.137373966801114,8.04089189831238,22.319,19.693
270,53.425979035637965,-36.1378481131489,6.553136699622029,22.245,19.714
274,53.42630532597498,-36.163669511817766,10.085338851987943,22.262,19.634
276,53.43068133981764,-36.13882324308027,7.766836637536886,22.257,19.604
277,53.430497237504056,-36.14492549323149,7.834973634724081,22.257,19.873
280,53.433049956223066,-36.16201871254231,10.97989041713422,22.276,19.675
291,53.426626202651185,-36.16407151330088,10.241606804374506,22.301,19.841
299,53.43403165924155,-36.14661047094935,8.871219067522638,22.297,19.673
301,53.43254409411117,-36.14147067975173,8.249422486610262,22.299,19.712
318,53.43018039431545,-36.15857304606799,9.669295643273072,22.339,19.793
331,53.42901382767193,-36.15051329462551,8.014649130330637,22.337,19.674
336,53.43341164586318,-36.14006048543171,8.475629678347476,22.346,20.004
349,53.4361941080205,-36.14299310894618,9.252067762414104,22.363,19.7
363,53.428207347794846,-36.16115595097205,9.831229285656244,22.407,19.969
376,53.430937843576814,-36.13822745892554,7.851347193964136,22.407,19.913
390,53.432310931997456,-36.13872914652368,8.202064624369363,22.425,19.573
404,53.42965958635397,-36.1620878872716,10.323204617878869,22.464,20.098
406,53.42817047495325,-36.15726622295557,8.982064595050934,22.464,19.741
407,53.43172637312361,-36.14223374606304,8.045686053806588,22.447,19.752
408,53.43156090565443,-36.14827529067819,8.382947017501625,22.456,19.834
410,53.43007157116455,-36.15798808483236,9.528468754024331,22.473,20.044
415,53.42581823640811,-36.13850004212773,6.4852677008298745,22.472,19.978
417,53.42831845569152,-36.16136056136301,9.89937451782528,22.493,20.094
420,53.43070328398115,-36.138063572475744,7.794545924515412,22.477,19.864
425,53.43013924865042,-36.13614161583376,7.737575486897955,22.477,19.676
439,53.43056811257358,-36.15084658451023,8.437464982609232,22.508,20.032
