,RA,DEC,RGC,F115W,F356W
9,190.6750962002211,13.22673553361056,33.69400346461601,20.934,18.1
22,190.71542365977416,13.263243750901887,2.9941975863841246,21.603,18.99
89,190.71705096230895,13.266779289510282,5.003888170236665,22.166,19.491
112,190.70978144052484,13.26368015907208,4.320045014819687,22.429,20.005
119,190.7192889117085,13.254422283374918,1.2367305446100327,22.313,19.764
129,190.7163277729016,13.252463622014274,3.022694719460865,22.34,19.677
138,190.7231377753896,13.260104451481428,3.707710296384992,22.342,19.657
139,190.7294313530696,13.25794459540822,6.263311409670981,22.342,19.877
154,190.723732753093,13.25083040629178,3.306014887993626,22.428,19.909
155,190.71728344250025,13.2650865030158,4.144031006232634,22.388,19.999
156,190.72151667440664,13.263485738411129,4.566344287375914,22.395,19.424
159,190.71570063434788,13.252533925382345,3.229919699176396,22.434,19.992
169,190.7218991355611,13.2593759694244,2.798482983617717,22.444,20.057
186,190.7182981120688,13.248750816435791,4.40558436430426,22.528,19.741
196,190.71589087424735,13.263233649186962,3.0012527801769666,22.51,19.526
205,190.72558650704372,13.251986449147848,3.6511728545297686,22.559,20.064
208,190.714311818429,13.26113589752212,2.26071520972554,22.603,20.075
254,190.71594960652425,13.263031370805855,2.9031023637616724,22.645,20.075
256,190.72234411585384,13.25307974753561,2.27108879074864,22.697,19.991
261,190.71741872093676,13.263854675201497,3.511944983427561,22.666,20.03
263,190.71881250338424,13.265167087411696,4.5419885679461975,22.66,20.107
290,190.71132743570536,13.25446569697275,4.463559240839449,22.897,20.54
295,190.7204785376426,13.252214737697251,2.2956661935364013,22.793,20.357
335,190.71379592497132,13.260683496084257,2.2984973230502375,22.972,20.67
368,190.71114792231992,13.258410453781252,3.5044977828642225,23.032,20.671
378,190.71877070250363,13.264588509886671,4.220654272730414,22.877,20.523
405,190.72195404338697,13.253870710155622,1.957015401735697,22.958,20.637
417,190.71391227611588,13.26092959576887,2.3174500988772517,23.063,20.729
448,190.71313856943743,13.261989747303726,2.828105282853418,23.063,20.714
458,190.7069287254186,13.265152740752145,5.644700950826191,23.162,20.595
464,190.7127758578827,13.260523808889957,2.661243567043714,23.169,20.796
466,190.71354254812005,13.265854824347192,4.261296440479843,23.016,20.253
498,190.7125717454115,13.258406949011682,2.76016503179462,23.226,20.856
532,190.72052398296347,13.251882173162816,2.454225016107084,23.15,20.429
537,190.71314803987133,13.262071638508504,2.8483937553037273,23.16,20.811
554,190.71464567926444,13.265409487517944,4.0346530793037285,23.144,20.801
558,190.72191267770916,13.252244074816405,2.430875613572298,23.192,20.797
593,190.71519161635564,13.252901906800352,3.260507981431204,23.294,20.921
610,190.69920445552765,13.263389506500928,9.164125445968752,23.408,20.828
614,190.7247946023996,13.254313504059116,3.159910803899334,23.255,20.769
620,190.7209015961435,13.249087322165796,3.82256632018254,23.304,20.723
636,190.71087472977445,13.254062370394111,4.844272054816272,23.457,21.154
639,190.71271072273643,13.260082492490536,2.648297227029889,23.459,20.965
643,190.7210834222949,13.249437780196423,3.637240069894385,23.341,20.382
657,190.7137417227145,13.25787627692465,2.217761032658558,23.479,20.862
669,190.72318040185027,13.2550764208058,2.3897344822751907,23.339,20.481
712,190.7078003444119,13.255538500863931,5.967344175924582,23.554,21.085
719,190.71073059239444,13.260103155874956,3.577685289139237,23.561,20.632
728,190.72543654272351,13.258023798701212,4.154345056361901,23.414,20.923
744,190.7148507294688,13.257162444493709,1.757365654988592,23.599,20.807
762,190.71297100183645,13.258304286245238,2.564699798747363,23.625,21.14
777,190.71420149669248,13.251367287550073,4.423358208306156,23.577,21.055
780,190.71684809769667,13.251875795996822,3.144305946958422,23.535,21.198
805,190.71205287235696,13.256433736003316,3.441685499304014,23.68,21.223
848,190.70420721309236,13.26912388850567,7.3956977416847645,23.6,21.142
864,190.7156585651971,13.254685155392607,2.218569140158019,23.778,21.188
867,190.71763370134275,13.248261663168227,4.835693027600825,23.667,21.311
891,190.71012826180348,13.2593547003553,3.923054178412643,23.815,21.344
909,190.72190316136084,13.251657572872215,2.6543942563595166,23.711,21.035
916,190.71553633551017,13.26559784961553,4.17372093049364,23.688,21.174
937,190.72175483758147,13.247918554674516,4.364416072827882,23.757,21.453
940,190.7136562182651,13.263842574719307,3.373368628587806,23.714,21.107
947,190.71732559133764,13.257718404365916,0.4536337545552173,23.89,21.507
952,190.72237919963337,13.26171238220318,4.063701069228698,23.738,21.362
956,190.71611183246105,13.24831359619074,5.262778741025372,23.783,21.297
964,190.71881267449385,13.250587617220006,3.3081666823845937,23.797,21.306
980,190.7230339641223,13.247981050830337,4.3446139108133845,23.816,20.926
988,190.7125786787818,13.24051478293714,10.554459299337388,23.823,21.45
1003,190.7135059789951,13.251503464063012,4.659824972799985,23.964,21.3
1031,190.72150298059452,13.253214752224972,2.006932074997222,23.878,21.515
1034,190.7228233625688,13.258230442637164,2.8367796605825872,23.828,21.062
1038,190.7235647150087,13.255165598391647,2.586215100490514,24.81,21.914
1041,190.715550802204,13.260447630294234,1.7544716483583578,23.844,21.339
1051,190.71606207912788,13.252023179451012,3.3475527857598024,23.896,21.323
1055,190.72392594061816,13.248706544869645,4.117448043121334,23.897,20.926
1061,190.7268853604358,13.258481164842271,5.062155526214691,23.873,21.527
1066,190.71926930096907,13.261878644830128,2.9222156000910875,23.869,21.209
1134,190.709946202105,13.257239301447152,4.366906035591083,24.095,21.625
1141,190.71391491922708,13.255724524036284,2.675198208395468,24.105,21.289
1159,190.71496880715895,13.250511646963682,4.534264541107844,24.018,21.026
1160,190.7101090814745,13.255101415337029,4.880020243394628,24.144,21.668
1183,190.7212118593628,13.256706580462644,1.549598994804796,24.007,21.319
1189,190.72375846172903,13.261805952373338,4.737517431486042,24.015,21.667
1227,190.7209439772808,13.263191455884575,4.196322287236835,24.066,21.467
1229,190.72976826424753,13.26036901565248,7.196510948816107,24.054,21.5
1260,190.7117635882453,13.260607381167937,3.104771214403258,24.243,21.926
1271,190.71853526044757,13.26554453144092,4.671107648328868,24.089,21.395
1308,190.72388588353436,13.25359963959094,2.7593621425224177,24.159,21.532
1318,190.71392452371884,13.261658353372846,2.520051261893201,24.134,21.716
1322,190.7136231251815,13.258635352146888,2.2022185316953093,24.288,21.329
1333,190.71791353969485,13.24857750041444,4.593120264856681,24.175,21.523
1337,190.71012352977996,13.262919786133288,4.057248475742698,24.301,21.859
1349,190.7148713016543,13.26575064755282,4.209176322161865,24.155,21.318
1358,190.71610476384356,13.248452493822242,5.191905348739933,24.198,21.539
1370,190.7246604601071,13.26315230377075,5.760469604664979,24.164,21.716
1404,190.71305626692495,13.26862461092256,5.574701042884044,24.191,21.547
1416,190.7076958885572,13.272496878322537,7.667242996014326,24.211,21.888
1421,190.71264001317527,13.259618959661488,2.6620672933404004,24.357,21.934
1448,190.70953639817557,13.261805528767042,4.175848698299467,24.37,21.796
1467,190.71417347243667,13.25173041952444,4.260505882736406,24.313,21.731
1470,190.71427039607087,13.259178852723968,1.894023339906307,24.384,21.424
1476,190.71288740068087,13.254729559927553,3.565530295804486,24.38,21.744
1501,190.71465076517157,13.269328575176532,6.008965374951007,24.248,21.89
1525,190.71898081601628,13.260914220949404,2.32002193823619,24.27,21.428
1529,190.71327580063408,13.251740366835996,4.651963209475341,24.428,21.542
1544,190.7131861886698,13.257134284568403,2.655240087355296,24.437,22.013
1568,190.71963166198995,13.257075513953174,0.7862901803240032,24.315,21.579
1579,190.71419753402577,13.256596298450017,2.250726928555432,24.456,22.05
1581,190.72257901059623,13.267205650268524,6.862651034551185,24.312,21.445
1587,190.7117279680883,13.269381758688048,5.956812927196136,24.307,21.963
1591,190.72061607322772,13.252933668816658,1.9749209862897763,24.347,21.987
1597,190.71979578759235,13.250413602660018,3.242870977228838,24.35,21.806
1598,190.72624277841223,13.260749050654807,5.516475454644546,24.312,21.895
1603,190.71164163375377,13.261650019443822,3.270015430599148,24.484,22.116
1615,190.72419851269905,13.251588831197235,3.2208758650944107,24.379,21.788
1624,190.7115790262132,13.254194178401082,4.434705102582387,24.505,22.116
1647,190.7255919339845,13.259291253064548,4.646315659577701,24.355,21.897
1668,190.71729249460492,13.266825515924584,5.075223422479746,24.366,22.001
1685,190.7174263887105,13.256870978588392,0.4500024408228356,24.551,22.101
1693,190.71429366643045,13.255994462988452,2.3854330719597683,24.538,22.054
1697,190.71558829657533,13.258691047852482,1.280719213644724,24.542,21.864
1717,190.7144858895659,13.26204272438964,2.538661271855597,24.409,21.575
1724,190.72494950546985,13.25966753322813,4.448977148103071,24.394,21.898
1755,190.71788382137137,13.256314154503247,0.4694911850107831,24.521,22.041
1757,190.716315899199,13.242324212108006,8.382168556706196,24.456,22.124
1763,190.7044944035549,13.251180484234473,9.1842821514848,24.584,22.058
1767,190.7093442211969,13.250938227729826,6.856218665745855,24.579,22.197
1777,190.70031283439576,13.258295954108224,9.293528164132743,24.587,22.108
1783,190.72519590294692,13.258873565806027,4.2964410244029105,24.431,21.822
1790,190.70890562138223,13.259620307634629,4.526027871960962,24.592,22.169
1815,190.72640735684655,13.264369919660886,7.117229219091507,24.455,22.112
1816,190.7045665668221,13.267494145235853,6.935224713392159,24.613,22.068
1822,190.70994871812167,13.253489334985463,5.531929558176223,24.611,21.987
1833,190.7148589093504,13.25166709174377,4.0018910040413695,24.495,22.031
1837,190.71238516490817,13.241422661022536,10.153843275271624,24.496,22.131
1843,190.71992106015725,13.261844842012712,3.1264505116286925,24.462,21.481
1854,190.7105703635772,13.259849478608364,3.6649069239744265,24.623,22.084
1868,190.7132939394903,13.264053564537871,3.506925568901109,24.475,21.867
1872,190.72860117119575,13.26038455778194,6.594003205909814,24.472,21.966
1877,190.7135812812675,13.260385217863291,2.320217283266643,24.635,21.682
1891,190.72406887692844,13.260582630439982,4.36265930290427,24.486,21.876
1902,190.71162888460225,13.253339179175388,4.742291821750992,24.643,22.173
1946,190.71769349333044,13.257130586310195,0.2479423493201914,24.656,21.681
1956,190.7240160841664,13.25522247773258,2.819566917931248,24.511,21.786
1973,190.70741296486847,13.25639118301123,5.934929803524084,24.683,22.256
1979,190.70560110722923,13.264486957084772,6.1099593046748355,24.688,22.219
1980,190.71772241490496,13.266027755093033,4.737413849250821,24.528,21.535
1990,190.7115273994228,13.259166063387378,3.2246692441953773,24.699,22.303
1998,190.72327086764997,13.257572601499168,2.868886368649907,24.535,22.018
2006,190.73316559469623,13.24897620057848,7.197554468794292,24.547,22.06
2019,190.71344563104503,13.25642264995534,2.701482539618978,24.706,22.282
2031,190.72331707689972,13.260777049703826,4.078453538944097,24.554,21.667
2034,190.7193353473732,13.258986512819126,1.4461670441574888,24.566,21.781
2047,190.7162680501918,13.267849267637864,5.43854974835729,24.556,21.765
2056,190.70950568565704,13.25889790238731,4.298428564788728,24.718,22.251
2067,190.71105954117124,13.26053852089274,3.422401712685937,24.729,21.99
