,RA,DEC,RGC,F115W,F444W
16,188.57887721908216,2.221463538678281,15.13096381504346,20.592,17.678
35,188.59297542689333,2.1939847488087767,6.019535369092243,21.166,18.646
46,188.575317959806,2.2146506622853384,12.405460919202508,21.326,18.803
51,188.57229912334017,2.209034123546423,11.748381896482613,21.496,19.089
58,188.5843789489539,2.190935897812224,10.365909193593712,21.45,18.934
81,188.58607500851863,2.2010428472139885,7.704160874267811,21.573,19.052
98,188.58090432598095,2.2066194681181717,9.53895437548395,21.799,19.333
106,188.595889244033,2.195377412848363,4.874307173162952,21.741,19.192
107,188.57711451504113,2.2075302397092487,10.46673463510547,21.862,19.248
138,188.5914809071357,2.1943908520320496,6.481402858255805,21.87,19.311
153,188.5843659880849,2.20244826199594,8.230889949080785,21.937,19.262
162,188.59139464834573,2.1954222047693084,6.328694844568643,21.962,19.421
190,188.58210190511215,2.205458438428871,9.104217846519456,22.188,19.683
203,188.5761119963406,2.2127693149082903,11.746549387890312,22.128,19.354
211,188.57917211969928,2.2070449326009216,9.957086693488714,22.246,19.396
216,188.5831892938941,2.219319052207924,14.274298172845128,22.157,19.03
221,188.5807747155372,2.2072225893892514,9.677091275850664,22.212,19.681
238,188.57332344171212,2.2134267461717214,12.30906027952263,22.208,19.491
297,188.58244867852903,2.204173834885532,8.854525988919445,22.419,19.762
311,188.5820555426988,2.205524915968514,9.124328550733322,22.473,19.889
318,188.59096559265984,2.2001993904506314,6.452563301491354,22.364,19.708
416,188.5722435211684,2.19516162774291,13.6987657033838,22.676,20.041
467,188.585187564127,2.208140378857778,9.316153160790416,22.656,19.901
486,188.5756947349023,2.212819083442391,11.814662304703884,22.676,19.659
504,188.58385264619335,2.202110532663688,8.341394841608203,22.691,20.179
515,188.5980101421951,2.1912156521846446,4.808648342483355,22.704,19.881
565,188.57748659126793,2.211177649215764,11.126316319542216,22.793,20.317
567,188.5924196945263,2.196379069209691,5.8900826324910485,22.785,20.302
577,188.5924947406359,2.1913755837529147,6.933034529733822,22.805,19.88
612,188.5811141590244,2.207212430102905,9.614159168787518,22.888,20.222
618,188.57151101436045,2.2048065775238928,11.917832456292274,22.966,20.55
641,188.588648269302,2.207770105913768,8.954916190750616,22.893,20.314
686,188.5933709643174,2.193135606159015,6.065007858998559,22.934,19.992
766,188.5806468311463,2.207341163633732,9.723932632874586,23.089,20.373
769,188.58516072191088,2.1903275250551983,10.292481797182573,23.046,20.546
810,188.58511359126624,2.1877249890972887,11.445307053567516,23.093,20.567
837,188.58485152362672,2.1924536934083245,9.607890124835224,23.115,20.216
851,188.59816921671217,2.1907414373895824,4.893669265933896,23.13,20.026
875,188.5827930131514,2.187896428615614,12.315717266674143,23.151,20.533
891,188.5953441317513,2.20166309431233,6.238861749352678,23.168,20.46
932,188.59619367459916,2.1905036955112256,5.761177302717047,23.203,20.284
936,188.5883388104098,2.2186492053580547,14.374460567174465,23.219,20.384
950,188.59416212304797,2.1911608177786683,6.3427390592570845,23.222,20.272
959,188.5872843590628,2.223901289353857,17.233728601991583,23.245,20.29
971,188.56753251406704,2.21545252268366,13.719691036848529,23.238,20.638
997,188.59172598764013,2.194824076518435,6.309618002071772,23.266,20.72
1008,188.56582374726668,2.203725547887066,13.95420528332128,23.391,20.761
1014,188.5924775175733,2.1963863885166353,5.871628386337545,23.279,20.191
1022,188.56749377979733,2.21837728390604,14.437068018015152,23.291,20.299
1069,188.5856698591591,2.2206152032302104,15.173766174027696,23.326,20.725
1093,188.58604734329572,2.202695921669547,7.862720474094639,23.337,20.461
1110,188.57620807339825,2.2035335588154745,10.529947872438225,23.463,20.971
1112,188.5747368951752,2.203724281582266,10.974144416986537,23.465,21.011
1118,188.59404978047536,2.199565347116741,5.7468422372599886,23.351,20.757
1127,188.57590701055412,2.2098267257895747,11.080753965880522,23.361,20.934
1148,188.59093085422504,2.192603014263585,7.151714948166709,23.375,20.55
1155,188.58002397644816,2.204209472361157,9.452808305413546,23.498,21.09
1182,188.59708089247448,2.2008461499665932,5.835168218120569,23.403,20.986
1237,188.57739450274104,2.218169952569263,13.600219371135184,23.439,21.004
1240,188.58757779162136,2.2201593343232107,15.132432088325794,23.456,21.021
1299,188.5882988354808,2.1932627125906214,7.979367647376881,23.472,21.035
1340,188.5963078488391,2.1891906728892434,6.222688406336263,23.507,20.645
1356,188.59218082525945,2.199261466319297,6.059535541133665,23.515,20.382
1357,188.59803510012463,2.200114975214297,5.503341944773855,23.514,20.744
1389,188.59019544151337,2.190068420950607,8.350888237673171,23.535,20.958
