,RA,DEC,RGC,F115W,F356W
19,186.79585597393088,9.421741350066451,1.2271765950469042,21.342,18.955
28,186.7968190243621,9.419862448270347,0.6678440779316043,21.924,19.333
29,186.79982803247515,9.419538441557114,0.4772609707970269,21.964,19.643
38,186.79350899795145,9.41935742244326,1.678554939028705,22.513,20.031
63,186.8021133327579,9.416069871150524,2.8992496073606526,22.939,20.567
64,186.80284753952145,9.421386734281548,1.4554699972627372,22.965,20.368
81,186.80900467153657,9.424466171657054,4.446194187280081,23.168,20.604
82,186.7905681467343,9.42267236245357,2.514573839476189,23.168,20.62
85,186.80444728453352,9.421011499495624,1.6556687956257257,23.18,20.702
95,186.80452728112255,9.427249820018195,5.561454839052864,23.246,20.46
99,186.8137060052,9.428119098599238,7.534266592618282,23.381,20.693
100,186.80370889740735,9.421608921947373,1.7584268348637264,23.265,20.806
109,186.8058312312397,9.421655034273416,2.261473381022506,23.309,20.974
111,186.7979218315962,9.421789487696214,1.114395178350039,23.316,20.778
116,186.79064137229432,9.417181665191734,3.401583285200638,23.34,21.034
119,186.7947416453517,9.420035523085769,1.1476978461185878,23.343,20.86
136,186.79057463498935,9.41939092735218,2.4029638454160422,23.406,21.043
141,186.7897332324424,9.419909178367163,2.4827820440460826,23.414,20.931
142,186.80250273553543,9.418721672894284,1.2427086521039457,23.415,20.81
148,186.79797363958153,9.4228124034895,1.8361254457051788,23.426,21.097
155,186.80720228619492,9.408013852646588,8.543265611896388,23.469,21.084
174,186.80277673006745,9.422080874038992,1.8406190430717029,23.482,21.162
175,186.8022832548669,9.420113652883584,0.8491618041757515,23.487,21.028
177,186.803333439294,9.419311641139046,1.1750106676882284,23.486,21.133
204,186.80040374393005,9.418143116531692,1.4421568116298529,23.535,20.719
209,186.8243358170034,9.41962523171384,6.5627764425860144,23.676,21.373
210,186.792667389193,9.422081846689894,1.8978325210771392,23.541,21.17
227,186.79027697854383,9.426402074784074,4.540636289518732,23.568,21.14
278,186.7910882662923,9.423245204423512,2.665007800646167,23.627,20.93
337,186.80891112525376,9.421296593417964,2.8742343032392665,23.686,20.982
340,186.798411906974,9.41639946877227,2.7669272840017123,23.682,21.151
342,186.80352071575197,9.41752329037415,2.025908109281145,23.683,20.955
364,186.7958368728034,9.425154448747913,3.4724136767032414,23.695,21.303
365,186.7960562328714,9.423225828322089,2.1411944239393796,23.692,20.953
398,186.78583876611157,9.419003024616428,3.7326668974916366,23.728,20.972
402,186.79134213094065,9.415470937527123,4.30547349848246,23.726,20.865
428,186.79690893274935,9.42382786817861,2.542450404611696,23.741,21.17
434,186.7931164747579,9.42075446824738,1.50613374950452,23.745,21.158
473,186.7898876387994,9.42137264604036,2.3527017741767384,23.772,21.44
482,186.80693957921255,9.418577440937383,2.151612525103551,23.786,21.427
490,186.78926744029897,9.421579531911792,2.5268860561412745,23.777,21.271
494,186.80155605941087,9.42292481531076,2.202235737139559,23.774,21.147
515,186.79460807665313,9.420389088747166,1.129279563250086,23.795,21.443
579,186.7976807999545,9.42245993910913,1.5837611479933973,23.827,21.207
582,186.81806655128776,9.42600493631046,7.172493414766256,23.958,21.42
616,186.81063207707092,9.428776731111782,7.444864706010234,23.849,21.475
