,RA,DEC,RGC,F115W,F356W
25,180.46185950629,-18.870982951084383,20.072938326129105,20.143,17.52
36,180.47545946420811,-18.87065861637681,10.155384839320655,20.688,18.184
37,180.47910572500072,-18.870223795004165,18.21071594838464,20.718,18.156
77,180.48155220079568,-18.8725856934502,23.675981755356062,21.332,18.768
79,180.47748034047208,-18.87685906713564,14.94560613461958,21.342,18.975
82,180.47818923483533,-18.88190618310504,16.944730993080935,21.352,18.738
104,180.46690929605867,-18.872526915032815,9.001745159915027,21.456,18.633
119,180.46686165254837,-18.874784660914912,9.292003916314185,21.75,19.295
120,180.47197189692747,-18.861357388087413,3.4022463349629186,21.541,19.151
124,180.46409778722185,-18.876228756361385,15.379177607339097,21.746,19.157
128,180.46244206456265,-18.875610501057302,18.95766347210864,21.759,19.293
137,180.4627681191951,-18.864110120528448,18.085363491910325,21.583,18.781
138,180.45999361314773,-18.870612836563456,24.19888595693285,21.594,19.26
162,180.4833408746565,-18.876158500578537,27.743118718550026,21.664,19.114
166,180.46760162430417,-18.87401639053941,7.637813573886489,21.878,19.442
174,180.4627864466937,-18.875197871145723,18.180282172809324,21.91,19.558
182,180.48217325411017,-18.86933694258222,24.998187986231503,21.726,19.006
184,180.4815128772423,-18.873812951072235,23.62524569897084,21.734,19.127
199,180.481144797172,-18.87145137570534,22.74829902738147,21.785,19.176
201,180.4779250436148,-18.86978278471247,15.588563541871537,21.788,19.056
202,180.4813788155379,-18.872221281488297,23.283335829383887,21.792,19.333
209,180.46611511909708,-18.875650492093005,10.972469069098256,22.009,19.544
220,180.47840853473636,-18.879341354759,17.157472584671822,21.849,19.439
224,180.48018616448,-18.87756824341268,20.883957265909785,21.854,19.548
225,180.47739717584855,-18.877212814623036,14.794725646449884,21.852,19.317
232,180.4661551596188,-18.861611716369648,10.77721820258122,21.857,18.863
237,180.46815935996597,-18.869541204800083,6.102337583425433,21.875,19.375
239,180.46720493548264,-18.874093281238032,8.490997443377962,22.072,19.411
265,180.47333933841003,-18.868121225365375,5.408340992147137,21.912,18.917
269,180.4762770872784,-18.867073013237857,11.92620045313201,21.938,19.09
278,180.48164819070743,-18.872305568362837,23.881277814517944,21.95,19.447
288,180.47033849578963,-18.860407761095356,3.0484819764591813,21.97,19.372
294,180.46544017287735,-18.874369228150503,12.32758798625036,22.174,19.847
305,180.47972666402072,-18.870792356874,19.595828436581996,21.993,19.569
321,180.48136705607905,-18.8817028890158,23.74243094472611,22.034,19.11
338,180.47085984386675,-18.872315545860772,1.5842336359737608,22.049,19.713
356,180.46750671555884,-18.873529258593795,7.791176785520687,22.282,19.868
357,180.46809206415895,-18.859951960080135,6.888983603345088,22.083,19.684
360,180.46303581618,-18.862546956951736,17.54983176579917,22.091,19.187
362,180.48261012464147,-18.872710747274812,26.019037718708383,22.092,19.625
363,180.46270541405264,-18.864260037327092,18.219732377824904,22.101,19.698
