,RA,DEC,RGC,F115W,F356W
252,218.16263092913408,-44.16263697214352,17.5244143557564,20.342,17.431
266,218.1459463291327,-44.17655341510988,4.32718914449662,20.503,17.705
280,218.1863397095751,-44.19939547678992,36.88958549138528,20.636,18.32
299,218.1837778061768,-44.1785403168555,6.857952630147383,20.553,18.179
358,218.15366661647295,-44.16797686852351,10.457337005053176,20.907,18.456
361,218.1450321063424,-44.181565579189,10.028032688598868,20.909,18.569
385,218.19563090270051,-44.17471575373874,4.470797522522809,20.829,18.421
388,218.1577710874552,-44.168588491705975,9.271807124356512,20.984,18.536
408,218.1901486644716,-44.1831112423991,13.765211324873237,20.897,18.139
421,218.1943246276021,-44.19866328550432,36.29094576442589,21.089,18.605
429,218.1510762462735,-44.17744715340407,4.608511117273306,21.093,18.472
485,218.17585791180545,-44.16032896376158,20.295762102616138,21.027,18.427
486,218.16700971353788,-44.164628727537405,14.42131397891879,21.042,18.736
514,218.16388585542305,-44.172247125041565,3.6289745123926234,21.238,18.376
527,218.18962607759923,-44.17116539984925,5.146871207877835,21.121,18.738
533,218.1910048351461,-44.17160732978224,4.788336874829181,21.129,18.823
538,218.16939880553113,-44.15441417065879,29.116160599852016,21.143,18.381
550,218.19073283358316,-44.17373337758566,3.448540489855885,21.167,18.641
551,218.19285343252704,-44.17032132902242,6.326392140118499,21.163,18.774
558,218.17698723754052,-44.182424573676144,11.859059655022872,21.178,18.816
563,218.19202345138956,-44.176784391998666,5.613681620965092,21.183,18.765
573,218.14603380486477,-44.17759150243485,5.180026624931655,21.347,18.986
576,218.1449711889231,-44.17645986633799,4.393998651088561,21.351,18.404
578,218.16484807414665,-44.18043521479882,8.434737843937897,21.348,18.839
585,218.17282956535087,-44.17468028189791,0.6599083805900972,21.234,18.832
599,218.1450790395068,-44.1679721761793,11.235767639262962,21.405,18.951
605,218.18731512341031,-44.197731404241054,34.53935838071208,21.438,19.123
608,218.1865524305842,-44.18322894547445,13.652055935619636,21.278,18.627
623,218.18326253025623,-44.18087846879325,10.07281848837092,21.298,18.943
627,218.1869452798965,-44.166435240173385,11.308604959406358,21.294,18.935
634,218.17086924097055,-44.172012083707735,3.5574647678331406,21.345,18.726
635,218.18781361901213,-44.16581751580283,12.175249763908788,21.305,18.798
637,218.15094026238103,-44.173841315014066,3.5057349227088164,21.464,18.921
644,218.1955652001351,-44.177636743563085,7.056527835522044,21.332,18.961
646,218.19532931333185,-44.18075832467974,10.992624366708968,21.334,18.362
653,218.15303984294823,-44.17184514938285,5.2902781236901255,21.482,19.156
654,218.1662546057348,-44.16322027570332,16.49730793531525,21.347,18.74
669,218.171656584934,-44.16250609501542,17.29693536284044,21.351,18.652
677,218.19419324029175,-44.16805055662611,9.217108092694502,21.37,19.052
678,218.1474239069534,-44.17644383114365,4.069288322794536,21.508,18.848
689,218.19337154554304,-44.16904075013606,7.913090499463319,21.377,19.07
690,218.17822124380092,-44.18135291957517,10.392599482800875,21.38,18.974
695,218.14974567623136,-44.173783507266045,3.741520274086465,21.528,18.771
702,218.18914653392196,-44.16959860549884,7.033998548372514,21.388,19.062
705,218.14854224914433,-44.173271621598715,4.349551719140473,21.533,19.028
720,218.1858822156443,-44.15543444701346,27.06729488816173,21.4,19.05
730,218.16348262242963,-44.16594781927304,12.692628594168273,21.425,19.048
737,218.1484209084244,-44.19769718777699,32.89790311933372,21.486,19.123
743,218.14527189387803,-44.17777760239935,5.432124684679814,21.579,19.2
749,218.1764544675641,-44.18358839898159,13.5080096085195,21.438,18.802
751,218.19146978626736,-44.16638468938287,11.401728782213164,21.431,18.896
757,218.16802767385667,-44.17424003553553,0.5121657598343441,21.595,18.701
758,218.15185916665175,-44.174783601548754,2.909746682854889,21.598,18.9
760,218.15672603235268,-44.17144873267917,5.393182875767773,21.602,19.054
761,218.1582063436972,-44.16757147713282,10.687102591558894,21.598,19.286
768,218.17601427775864,-44.159990538372305,20.780217406317075,21.457,19.04
